p bs_error_test bs_bias bs_var 
1 2.9592e-02 2.9498e-02 9.3716e-05 
2 1.9144e-02 1.9008e-02 1.3596e-04 
3 1.1266e-02 1.1146e-02 1.2050e-04 
4 6.6104e-03 6.4778e-03 1.3260e-04 
5 5.3204e-03 5.1586e-03 1.6186e-04 
6 4.3351e-03 4.1177e-03 2.1743e-04 
7 3.7191e-03 3.4713e-03 2.4784e-04 
8 3.9588e-03 3.5803e-03 3.7852e-04 
9 4.2659e-03 3.5481e-03 7.1788e-04 
10 6.6844e-03 4.2223e-03 2.4621e-03 
11 6.3918e-03 3.3441e-03 3.0477e-03 
12 2.1709e-02 4.8046e-03 1.6905e-02 
13 4.3858e-02 1.0141e-02 3.3717e-02 
14 2.0358e-01 2.8094e-02 1.7549e-01 
15 1.3447e+00 2.2980e-01 1.1149e+00 
16 1.4824e+01 2.2433e-01 1.4600e+01 
17 1.9094e+01 3.1451e-01 1.8779e+01 
18 1.5272e+02 6.1970e+00 1.4652e+02 
19 1.6034e+03 4.9258e+00 1.5984e+03 
20 3.5129e+03 2.1368e+02 3.2992e+03 
