p bs_error_test bs_bias bs_var 
1 2.9598e-02 2.9488e-02 1.1044e-04 
2 1.9165e-02 1.9045e-02 1.2045e-04 
3 1.1295e-02 1.1174e-02 1.2187e-04 
4 6.6078e-03 6.4755e-03 1.3224e-04 
5 5.2869e-03 5.1343e-03 1.5254e-04 
6 5.2522e-03 4.1130e-03 1.1392e-03 
7 5.7831e-03 3.5256e-03 2.2575e-03 
8 5.8540e-03 3.5797e-03 2.2743e-03 
9 6.0363e-03 3.7442e-03 2.2920e-03 
10 7.2098e-03 4.2184e-03 2.9914e-03 
11 1.7171e-02 3.4429e-03 1.3728e-02 
12 1.8451e-02 5.3329e-03 1.3118e-02 
13 5.6413e-02 1.1382e-02 4.5031e-02 
14 2.0706e-01 3.8708e-02 1.6835e-01 
15 1.3613e+00 3.0120e-01 1.0601e+00 
16 1.8751e+00 7.1957e-02 1.8032e+00 
17 1.1645e+01 2.3008e-02 1.1622e+01 
18 1.4823e+02 7.3132e+00 1.4092e+02 
19 1.6298e+03 1.9064e+01 1.6107e+03 
20 6.5401e+03 5.1297e+02 6.0271e+03 
