p bs_error_test bs_bias bs_var 
1 2.4507e-02 2.4344e-02 1.6211e-04 
2 1.4780e-02 1.4581e-02 1.9878e-04 
3 1.0285e-02 1.0106e-02 1.7881e-04 
4 6.4816e-03 6.2715e-03 2.1015e-04 
5 4.8508e-03 4.6746e-03 1.7619e-04 
6 4.9139e-03 4.6638e-03 2.5015e-04 
7 5.4215e-03 4.4654e-03 9.5615e-04 
8 5.1032e-03 4.0135e-03 1.0897e-03 
9 1.1488e-02 6.5950e-03 4.8935e-03 
10 2.5753e-02 9.1837e-03 1.6569e-02 
11 7.5285e-02 4.4727e-03 7.0812e-02 
12 1.3218e-01 1.1103e-02 1.2108e-01 
13 8.9234e-02 9.5705e-03 7.9663e-02 
14 4.3181e-01 4.5010e-03 4.2731e-01 
15 3.8806e-01 9.9988e-03 3.7806e-01 
