p bs_error_test bs_bias bs_var 
1 2.4507e-02 2.4344e-02 1.6211e-04 
2 1.4780e-02 1.4581e-02 1.9878e-04 
3 1.0285e-02 1.0106e-02 1.7881e-04 
4 6.4816e-03 6.2715e-03 2.1015e-04 
5 4.8508e-03 4.6746e-03 1.7619e-04 
6 1.0077e-02 4.7978e-03 5.2794e-03 
7 1.0538e-02 4.5170e-03 6.0211e-03 
8 9.3009e-03 4.0100e-03 5.2909e-03 
9 2.0572e-02 6.9258e-03 1.3646e-02 
10 2.8998e-02 9.6641e-03 1.9334e-02 
11 6.5791e-02 4.5047e-03 6.1286e-02 
12 4.4602e-01 2.6890e-02 4.1913e-01 
13 6.6359e-01 4.5193e-03 6.5907e-01 
14 6.6780e+01 1.4266e+00 6.5354e+01 
15 2.6803e+02 2.5800e+01 2.4223e+02 
