p bs_error_test bs_bias bs_var bs_lmb 
1 2.4479e-02 2.4328e-02 1.5174e-04 3.7927e-04 
2 1.4854e-02 1.4650e-02 2.0368e-04 5.4556e-06 
3 1.0331e-02 1.0143e-02 1.8809e-04 1.1288e-02 
4 6.4976e-03 6.3194e-03 1.7820e-04 2.3357e-06 
5 5.0695e-03 4.9210e-03 1.4851e-04 5.4556e-06 
6 4.6912e-03 4.5488e-03 1.4239e-04 2.3357e-06 
7 4.5772e-03 4.4148e-03 1.6236e-04 2.9764e-05 
8 4.5451e-03 4.3724e-03 1.7279e-04 6.9519e-05 
9 4.6496e-03 4.4510e-03 1.9858e-04 6.9519e-05 
10 4.7612e-03 4.5351e-03 2.2609e-04 1.6238e-04 
11 4.8501e-03 4.5969e-03 2.5323e-04 2.3357e-06 
12 4.8749e-03 4.6009e-03 2.7404e-04 5.4556e-06 
13 4.8847e-03 4.6051e-03 2.7962e-04 5.4556e-06 
14 4.8910e-03 4.5607e-03 3.3031e-04 2.9764e-05 
15 4.9271e-03 4.5205e-03 4.0653e-04 2.9764e-05 
16 4.8744e-03 4.4937e-03 3.8070e-04 2.9764e-05 
17 4.9318e-03 4.4727e-03 4.5909e-04 6.9519e-05 
18 4.9655e-03 4.4855e-03 4.8003e-04 1.6238e-04 
19 4.8915e-03 4.4990e-03 3.9246e-04 6.9519e-05 
20 4.9630e-03 4.4931e-03 4.6986e-04 6.9519e-05 
