p bs_error_test bs_bias bs_var bs_lmb 
1 2.4469e-02 2.4315e-02 1.5342e-04 6.9519e-05 
2 1.5009e-02 1.4811e-02 1.9820e-04 1.0000e-06 
3 1.0227e-02 1.0029e-02 1.9858e-04 8.8587e-04 
4 6.6632e-03 6.4847e-03 1.7844e-04 1.0000e-06 
5 5.4657e-03 5.3151e-03 1.5061e-04 1.2743e-05 
6 4.9233e-03 4.7784e-03 1.4489e-04 2.9764e-05 
7 4.6917e-03 4.5407e-03 1.5105e-04 2.9764e-05 
8 4.6173e-03 4.4546e-03 1.6267e-04 6.9519e-05 
9 4.6304e-03 4.4426e-03 1.8778e-04 1.6238e-04 
10 4.7150e-03 4.5184e-03 1.9659e-04 6.9519e-05 
11 4.8115e-03 4.5957e-03 2.1580e-04 2.3357e-06 
12 4.8225e-03 4.5948e-03 2.2769e-04 1.6238e-04 
13 4.9568e-03 4.6889e-03 2.6798e-04 2.3357e-06 
14 4.9341e-03 4.6405e-03 2.9368e-04 5.4556e-06 
15 4.8873e-03 4.6083e-03 2.7906e-04 6.9519e-05 
16 4.9344e-03 4.5909e-03 3.4354e-04 6.9519e-05 
17 4.8889e-03 4.5540e-03 3.3491e-04 6.9519e-05 
18 4.9593e-03 4.5780e-03 3.8134e-04 2.9764e-05 
19 4.9970e-03 4.5643e-03 4.3277e-04 6.9519e-05 
20 4.8802e-03 4.5375e-03 3.4275e-04 1.6238e-04 
