p bs_error_test bs_bias bs_var bs_lmb 
1 2.4469e-02 2.4315e-02 1.5385e-04 5.4556e-06 
2 1.4888e-02 1.4707e-02 1.8095e-04 1.0000e-06 
3 1.0239e-02 1.0024e-02 2.1569e-04 4.8329e-03 
4 6.6122e-03 6.4337e-03 1.7846e-04 5.4556e-06 
5 5.5029e-03 5.3626e-03 1.4028e-04 1.2743e-05 
6 4.8760e-03 4.7497e-03 1.2638e-04 5.4556e-06 
7 4.6369e-03 4.4958e-03 1.4111e-04 1.2743e-05 
8 4.6363e-03 4.4685e-03 1.6773e-04 6.9519e-05 
9 4.6483e-03 4.4700e-03 1.7833e-04 1.6238e-04 
10 4.7330e-03 4.5435e-03 1.8948e-04 1.6238e-04 
11 4.7343e-03 4.5402e-03 1.9410e-04 1.6238e-04 
12 4.8410e-03 4.6299e-03 2.1108e-04 5.4556e-06 
13 4.8765e-03 4.6365e-03 2.4004e-04 1.0000e-06 
14 4.8961e-03 4.6003e-03 2.9584e-04 5.4556e-06 
15 4.8988e-03 4.6176e-03 2.8119e-04 2.9764e-05 
16 4.9798e-03 4.6117e-03 3.6806e-04 6.9519e-05 
17 4.9775e-03 4.5757e-03 4.0184e-04 1.2743e-05 
18 4.9601e-03 4.5927e-03 3.6740e-04 2.9764e-05 
19 4.8236e-03 4.5265e-03 2.9714e-04 1.6238e-04 
20 4.8763e-03 4.5083e-03 3.6797e-04 1.6238e-04 
