p bs_error_test bs_bias bs_var bs_lmb 
1 2.4483e-02 2.4328e-02 1.5535e-04 1.0000e-04 
2 1.4914e-02 1.4728e-02 1.8660e-04 5.6234e-05 
3 1.0054e-02 9.8760e-03 1.7769e-04 5.6234e-05 
4 8.3328e-03 8.1333e-03 1.9951e-04 3.1623e-05 
5 7.4251e-03 7.2279e-03 1.9715e-04 3.1623e-05 
6 7.2174e-03 7.0277e-03 1.8966e-04 3.1623e-05 
7 7.1423e-03 6.9487e-03 1.9362e-04 3.1623e-05 
8 6.7546e-03 6.5717e-03 1.8290e-04 3.1623e-05 
9 6.4525e-03 6.2856e-03 1.6696e-04 3.1623e-05 
10 6.0777e-03 5.9118e-03 1.6588e-04 3.1623e-05 
