p bs_error_test bs_bias bs_var bs_lmb 
1 2.4483e-02 2.4328e-02 1.5535e-04 1.0000e-04 
2 1.4914e-02 1.4728e-02 1.8660e-04 5.6234e-05 
3 1.0054e-02 9.8760e-03 1.7769e-04 5.6234e-05 
4 8.3328e-03 8.1333e-03 1.9951e-04 3.1623e-05 
5 7.4251e-03 7.2279e-03 1.9715e-04 3.1623e-05 
6 7.2174e-03 7.0277e-03 1.8966e-04 3.1623e-05 
7 7.1423e-03 6.9487e-03 1.9362e-04 3.1623e-05 
8 6.7546e-03 6.5717e-03 1.8290e-04 3.1623e-05 
9 6.4525e-03 6.2856e-03 1.6696e-04 3.1623e-05 
10 6.0777e-03 5.9118e-03 1.6588e-04 3.1623e-05 
11 5.8180e-03 5.6473e-03 1.7076e-04 3.1623e-05 
12 5.7367e-03 5.5606e-03 1.7602e-04 3.1623e-05 
13 5.6685e-03 5.5065e-03 1.6203e-04 3.1623e-05 
14 5.6826e-03 5.5146e-03 1.6800e-04 3.1623e-05 
15 5.7226e-03 5.5476e-03 1.7497e-04 3.1623e-05 
16 5.6945e-03 5.5138e-03 1.8060e-04 3.1623e-05 
17 5.7289e-03 5.5444e-03 1.8449e-04 3.1623e-05 
18 5.7642e-03 5.5839e-03 1.8032e-04 3.1623e-05 
19 5.7408e-03 5.5558e-03 1.8500e-04 3.1623e-05 
20 5.7633e-03 5.5753e-03 1.8802e-04 3.1623e-05 
