p bs_error_test bs_bias bs_var bs_lmb 
1 1.3296e-03 1.3294e-03 2.5682e-07 0.0000e+00 
2 6.1914e-04 6.1894e-04 1.9781e-07 0.0000e+00 
3 5.2961e-04 5.2932e-04 2.9167e-07 0.0000e+00 
4 5.1454e-04 5.1415e-04 3.8039e-07 0.0000e+00 
5 4.7850e-04 4.7801e-04 4.9880e-07 0.0000e+00 
6 4.0534e-04 4.0477e-04 5.7130e-07 0.0000e+00 
7 3.4628e-04 3.4570e-04 5.8102e-07 0.0000e+00 
8 3.0477e-04 3.0419e-04 5.7280e-07 0.0000e+00 
9 2.8999e-04 2.8924e-04 7.5181e-07 0.0000e+00 
10 2.8164e-04 2.8083e-04 8.1129e-07 0.0000e+00 
11 2.5370e-04 2.5276e-04 9.4335e-07 0.0000e+00 
12 2.3740e-04 2.3633e-04 1.0747e-06 0.0000e+00 
13 2.1661e-04 2.1540e-04 1.2132e-06 0.0000e+00 
14 1.9843e-04 1.9702e-04 1.4113e-06 0.0000e+00 
15 1.6873e-04 1.6721e-04 1.5122e-06 0.0000e+00 
16 1.5339e-04 1.5188e-04 1.5136e-06 0.0000e+00 
17 1.2705e-04 1.2520e-04 1.8511e-06 0.0000e+00 
18 1.1716e-04 1.1556e-04 1.6064e-06 0.0000e+00 
19 1.0262e-04 1.0136e-04 1.2658e-06 0.0000e+00 
20 9.6516e-05 9.4846e-05 1.6697e-06 0.0000e+00 
