p bs_error_test bs_bias bs_var bs_lmb 
1 1.3687e-03 1.3685e-03 2.2255e-07 1.0000e-04 
2 6.7722e-04 6.7701e-04 2.0958e-07 1.0000e-04 
3 7.1945e-04 7.1920e-04 2.4787e-07 1.0000e-04 
4 7.1903e-04 7.1879e-04 2.4044e-07 1.0000e-04 
5 6.8734e-04 6.8711e-04 2.3320e-07 1.0000e-04 
6 6.6918e-04 6.6893e-04 2.5062e-07 1.0000e-04 
7 6.5509e-04 6.5479e-04 2.9772e-07 1.0000e-04 
8 6.4769e-04 6.4741e-04 2.8213e-07 1.0000e-04 
9 6.4598e-04 6.4569e-04 2.8790e-07 1.0000e-04 
10 6.4353e-04 6.4329e-04 2.3695e-07 1.0000e-04 
11 6.4204e-04 6.4178e-04 2.5333e-07 1.0000e-04 
12 6.4059e-04 6.4032e-04 2.7051e-07 1.0000e-04 
13 6.3847e-04 6.3820e-04 2.7415e-07 1.0000e-04 
14 6.3771e-04 6.3743e-04 2.7858e-07 1.0000e-04 
15 6.3639e-04 6.3613e-04 2.5707e-07 1.0000e-04 
16 6.3655e-04 6.3628e-04 2.6958e-07 1.0000e-04 
17 6.3561e-04 6.3534e-04 2.7698e-07 1.0000e-04 
18 6.3569e-04 6.3542e-04 2.7660e-07 1.0000e-04 
19 6.3489e-04 6.3462e-04 2.6579e-07 1.0000e-04 
20 6.3489e-04 6.3461e-04 2.7310e-07 1.0000e-04 
