p bs_error_test bs_bias bs_var bs_lmb 
1 1.3100e-03 1.3097e-03 2.4741e-07 1.0000e+00 
2 6.0880e-04 6.0860e-04 2.0261e-07 1.0000e-02 
3 5.2100e-04 5.2075e-04 2.4951e-07 3.1623e-04 
4 5.0986e-04 5.0949e-04 3.7292e-07 3.1623e-03 
5 4.7839e-04 4.7793e-04 4.5721e-07 1.0000e-05 
6 4.0683e-04 4.0628e-04 5.5175e-07 1.0000e-06 
7 3.4680e-04 3.4628e-04 5.1995e-07 1.0000e-06 
8 3.2618e-04 3.2566e-04 5.2080e-07 1.0000e-06 
9 3.0862e-04 3.0811e-04 5.0795e-07 1.0000e-06 
10 2.9663e-04 2.9607e-04 5.5870e-07 1.0000e-06 
11 2.9261e-04 2.9202e-04 5.8660e-07 1.0000e-06 
12 2.9047e-04 2.8987e-04 6.0095e-07 1.0000e-06 
13 2.8699e-04 2.8638e-04 6.1057e-07 1.0000e-06 
14 2.8204e-04 2.8144e-04 5.9938e-07 1.0000e-06 
15 2.7618e-04 2.7559e-04 5.8809e-07 1.0000e-06 
16 2.7032e-04 2.6973e-04 5.8872e-07 1.0000e-06 
17 2.6571e-04 2.6513e-04 5.8224e-07 1.0000e-06 
18 2.6222e-04 2.6160e-04 6.2369e-07 1.0000e-06 
19 2.6032e-04 2.5964e-04 6.8030e-07 1.0000e-06 
20 2.5868e-04 2.5802e-04 6.5742e-07 1.0000e-06 
