p bs_error_test bs_bias bs_var bs_lmb 
1 1.3408e-03 1.3406e-03 2.0275e-07 0.0000e+00 
2 6.3150e-04 6.3130e-04 2.0103e-07 0.0000e+00 
3 5.3901e-04 5.3876e-04 2.5156e-07 0.0000e+00 
4 5.2285e-04 5.2248e-04 3.6724e-07 0.0000e+00 
5 4.9094e-04 4.9048e-04 4.6654e-07 0.0000e+00 
6 4.1668e-04 4.1612e-04 5.5754e-07 0.0000e+00 
7 3.5877e-04 3.5818e-04 5.8672e-07 0.0000e+00 
8 3.1492e-04 3.1436e-04 5.5809e-07 0.0000e+00 
9 2.9801e-04 2.9728e-04 7.3578e-07 0.0000e+00 
10 2.9033e-04 2.8956e-04 7.6358e-07 0.0000e+00 
11 2.6300e-04 2.6210e-04 9.0863e-07 0.0000e+00 
12 2.4540e-04 2.4440e-04 9.9972e-07 0.0000e+00 
13 2.2221e-04 2.2088e-04 1.3297e-06 0.0000e+00 
14 2.0139e-04 2.0023e-04 1.1575e-06 0.0000e+00 
15 1.7582e-04 1.7269e-04 3.1283e-06 0.0000e+00 
16 1.5149e-04 1.4995e-04 1.5397e-06 0.0000e+00 
17 1.3021e-04 1.2586e-04 4.3508e-06 0.0000e+00 
18 1.1457e-04 1.1245e-04 2.1196e-06 0.0000e+00 
19 1.0388e-04 1.0024e-04 3.6463e-06 0.0000e+00 
20 9.5032e-05 9.2807e-05 2.2243e-06 0.0000e+00 
